exit_time,side,entry_price,exit_price,units,pnl,reason
2025-01-03 11:10:00+00:00,LONG,157.3525,157.2540053139518,6355.158005115903,-625.949292500495,SL
2025-01-08 11:05:00+00:00,LONG,158.2095,158.11404383511587,6316.776493873626,-602.9752585353743,SL
2025-01-10 03:35:00+00:00,SHORT,158.0535,158.15861918137992,6319.196192738307,-664.2687307596636,SL
2025-01-22 05:45:00+00:00,LONG,155.6675,155.94058785468977,6411.786703828381,1750.9810756769293,TP
2025-01-22 11:00:00+00:00,SHORT,155.652,155.78957138476488,6423.674529038378,-883.7138002388054,SL
2025-01-23 07:00:00+00:00,LONG,156.5125,156.67006976079935,6382.711118879596,1005.722264253285,TP
2025-01-23 14:30:00+00:00,LONG,156.58100000000002,156.4918416907827,6386.341869434324,-569.3954431624836,SL
2025-01-24 06:00:00+00:00,SHORT,155.8855,155.42962871260346,6411.182571918064,2922.674052794597,TP
2025-01-27 10:10:00+00:00,SHORT,155.79000000000002,155.51281952122056,6433.873001267912,1783.3439988976586,TP
2025-01-31 02:15:00+00:00,SHORT,154.0775,154.21123956262105,6516.956848770429,-871.5749585748744,SL
2025-02-05 01:45:00+00:00,SHORT,154.261,154.1086820797131,6503.554650286534,990.6079188037788,TP
2025-02-13 06:55:00+00:00,LONG,154.4645,154.35678579401903,6501.399686184559,-700.2931049621972,SL
2025-02-24 03:45:00+00:00,SHORT,149.04200000000006,149.1722077459693,6733.237333917232,-876.7196563253254,SL
2025-03-11 13:20:00+00:00,LONG,147.28549999999998,147.57407876223252,6807.5841753965415,1964.5242151297089,TP
2025-03-13 04:10:00+00:00,SHORT,148.137,148.23775728671987,6781.7153262216525,-683.3072355766446,SL
2025-03-17 04:25:00+00:00,LONG,148.801,148.68670556931548,6746.860948817012,-771.1286310525901,SL
2025-03-21 04:10:00+00:00,LONG,148.8945,149.10000831373537,6737.445153540713,1384.6009923887539,TP
2025-03-28 03:50:00+00:00,LONG,151.16199999999998,151.053547996629,6645.540072281768,-720.7221343211185,SL
2025-04-01 10:35:00+00:00,LONG,149.8365,149.7383057958629,6699.518516996428,-657.8538888781425,SL
2025-04-07 08:15:00+00:00,SHORT,145.8795,146.0668871099427,6876.734238759093,-1288.6113548451133,SL
2025-04-15 07:50:00+00:00,SHORT,143.172,142.92243301106126,6997.7784834200265,1746.414505367429,TP
2025-04-15 11:00:00+00:00,LONG,143.32999999999998,143.17704295566725,7002.2490443981,-1071.0433175128674,SL
2025-04-15 14:25:00+00:00,SHORT,142.93,143.1102104452199,7014.351866060775,-1264.0594727118412,SL
2025-04-18 14:20:00+00:00,SHORT,142.336,142.37543136397994,7034.74351354088,-277.38953198787715,SL
2025-04-22 01:30:00+00:00,SHORT,140.71450000000002,140.78119275094502,7113.835910381424,-474.4412866347299,SL
2025-04-23 13:30:00+00:00,LONG,142.00799999999998,141.87015606931394,7045.69757988798,-971.2066488369188,SL
2025-04-25 13:35:00+00:00,LONG,143.5665,143.42922600011897,6962.447473999124,-955.7630137173464,SL
2025-04-28 04:55:00+00:00,SHORT,143.57,143.69113610281255,6955.620618946701,-842.5767744218662,SL
2025-04-28 15:20:00+00:00,SHORT,143.48600000000002,143.26678203644514,6953.820410965222,1524.4023494181724,TP
2025-05-05 02:00:00+00:00,SHORT,144.683,144.78483021898484,6906.825804256023,-703.323584137563,SL
2025-05-07 18:55:00+00:00,LONG,143.213,143.4570825683397,6972.8094115271415,1701.9412297088224,TP
2025-05-14 04:25:00+00:00,SHORT,147.311,147.0701109136007,6790.388331372032,1635.7304414407201,TP
2025-05-20 05:55:00+00:00,SHORT,144.8325,144.97560085614194,6917.885322176901,-989.9553122951891,SL
2025-05-26 04:55:00+00:00,SHORT,142.63150000000002,142.36954467346325,7017.6971469268055,1838.32314765933,TP
2025-05-28 14:35:00+00:00,LONG,144.2875,144.19442356237553,6949.895131314564,-646.8714806863456,SL
2025-06-05 15:25:00+00:00,LONG,143.289,143.19631174856968,6993.810566609188,-648.2440722537832,SL
2025-06-06 04:00:00+00:00,LONG,143.603,143.77450081148962,6974.003873224166,1196.0473235896134,TP
2025-06-18 11:45:00+00:00,LONG,145.09449999999998,145.00517751232786,6910.557778070152,-617.2682119391483,SL
2025-06-25 04:25:00+00:00,SHORT,144.70850000000002,144.83019583616098,6924.72561956112,-842.7102744577609,SL
2025-06-27 10:15:00+00:00,SHORT,144.3225,144.43266455742727,6937.407175206933,-764.2563911495242,SL
