time,side,entry,exit,pnl,reason
2025-01-02 03:35:00+00:00,LONG,157.48575,157.595125,69.45072808174709,TP_MA_down
2025-01-02 07:40:00+00:00,SHORT,157.201875,157.177875,15.277596513871433,TP_MA_up
2025-01-02 08:15:00+00:00,SHORT,157.125125,157.08112500000001,28.02688651022857,TP_MA_up
2025-01-02 10:45:00+00:00,SHORT,157.082,156.64225,280.2649832831525,TP_MA_up
2025-01-02 11:20:00+00:00,SHORT,156.78662500000002,156.81025,-15.127470867432525,TP_MA_up
2025-01-02 14:35:00+00:00,LONG,156.898375,157.129125,147.62548526046015,TP_MA_down
2025-01-02 14:50:00+00:00,LONG,157.132875,157.06650000000002,-42.46330547383714,TP_MA_down
2025-01-02 16:50:00+00:00,SHORT,156.945375,157.0695,-79.47006523685296,TP_MA_up
2025-01-02 17:25:00+00:00,SHORT,156.919875,156.91125,5.518618461988089,TP_MA_up
2025-01-02 20:15:00+00:00,LONG,157.584,157.53975000000003,-28.19513927777738,TP_MA_down
2025-01-02 20:30:00+00:00,LONG,157.55275,157.532375,-12.981436420273328,TP_MA_down
2025-01-02 20:45:00+00:00,LONG,157.539875,157.523125,-10.671347652485908,TP_MA_down
2025-01-02 21:15:00+00:00,LONG,157.52675,157.56675,25.483228856872657,TP_MA_down
2025-01-02 23:00:00+00:00,LONG,157.61487499999998,157.611625,-2.0698801491586396,TP_MA_down
2025-01-03 03:35:00+00:00,SHORT,157.430375,157.38150000000002,31.16365054456933,TP_MA_up
2025-01-03 03:50:00+00:00,SHORT,157.35875,157.341875,10.768067705067102,TP_MA_up
2025-01-03 04:30:00+00:00,SHORT,157.307,157.300625,4.069711321333607,TP_MA_up
2025-01-03 04:50:00+00:00,SHORT,157.27425,157.28525000000002,-7.023993905095695,TP_MA_up
2025-01-03 05:25:00+00:00,SHORT,157.29512499999998,157.363,-43.33245225372145,TP_MA_up
2025-01-03 07:00:00+00:00,LONG,157.3715,157.27325000000002,-62.666828728606276,TP_MA_down
2025-01-03 10:15:00+00:00,SHORT,157.288125,157.280375,4.942717478099651,TP_MA_up
2025-01-03 12:00:00+00:00,LONG,157.26125,157.22449999999998,-23.443207868833714,TP_MA_down
2025-01-03 12:20:00+00:00,LONG,157.25075,157.22949999999997,-13.55333353965026,TP_MA_down
